,Año,Clave_Ent,Entidad,Cve. Municipio,Municipio,Tipo de delito,Subtipo de delito,Enero,Febrero,Marzo,Abril,Mayo,Junio,Julio,Agosto,Septiembre,Octubre,Noviembre,Diciembre
304713,2016,21,Puebla,21143,San Salvador el Verde,Otros delitos que atentan contra la libertad personal,Otros delitos que atentan contra la libertad personal,0,0,0,0,0,0,0,1,0,0,0,0
304811,2016,21,Puebla,21144,San Salvador Huixcolotla,Otros delitos que atentan contra la libertad personal,Otros delitos que atentan contra la libertad personal,0,0,0,0,0,0,0,0,0,0,0,0
304909,2016,21,Puebla,21145,San Sebastián Tlacotepec,Otros delitos que atentan contra la libertad personal,Otros delitos que atentan contra la libertad personal,0,0,0,0,1,0,0,0,0,0,0,0
305007,2016,21,Puebla,21146,Santa Catarina Tlaltempan,Otros delitos que atentan contra la libertad personal,Otros delitos que atentan contra la libertad personal,0,0,0,0,0,0,0,0,0,0,0,0
305105,2016,21,Puebla,21147,Santa Inés Ahuatempan,Otros delitos que atentan contra la libertad personal,Otros delitos que atentan contra la libertad personal,0,0,0,0,0,0,0,0,0,0,0,0
305203,2016,21,Puebla,21148,Santa Isabel Cholula,Otros delitos que atentan contra la libertad personal,Otros delitos que atentan contra la libertad personal,0,0,0,0,0,0,0,0,0,0,1,0
305301,2016,21,Puebla,21149,Santiago Miahuatlán,Otros delitos que atentan contra la libertad personal,Otros delitos que atentan contra la libertad personal,0,0,0,0,0,0,1,0,0,0,0,0
305399,2016,21,Puebla,21150,Huehuetlán el Grande,Otros delitos que atentan contra la libertad personal,Otros delitos que atentan contra la libertad personal,0,0,0,0,0,0,0,0,0,0,0,0
305497,2016,21,Puebla,21151,Santo Tomás Hueyotlipan,Otros delitos que atentan contra la libertad personal,Otros delitos que atentan contra la libertad personal,0,0,0,0,0,0,0,0,0,0,0,0
305595,2016,21,Puebla,21152,Soltepec,Otros delitos que atentan contra la libertad personal,Otros delitos que atentan contra la libertad personal,0,0,0,0,0,0,0,0,0,0,0,0
305693,2016,21,Puebla,21153,Tecali de Herrera,Otros delitos que atentan contra la libertad personal,Otros delitos que atentan contra la libertad personal,0,0,2,0,0,0,1,0,0,2,0,0
305791,2016,21,Puebla,21154,Tecamachalco,Otros delitos que atentan contra la libertad personal,Otros delitos que atentan contra la libertad personal,0,0,1,0,2,0,0,2,0,1,0,0
305889,2016,21,Puebla,21155,Tecomatlán,Otros delitos que atentan contra la libertad personal,Otros delitos que atentan contra la libertad personal,0,0,1,0,0,0,0,0,0,0,0,0
305987,2016,21,Puebla,21156,Tehuacán,Otros delitos que atentan contra la libertad personal,Otros delitos que atentan contra la libertad personal,1,7,3,4,3,6,3,2,3,3,3,2
306085,2016,21,Puebla,21157,Tehuitzingo,Otros delitos que atentan contra la libertad personal,Otros delitos que atentan contra la libertad personal,0,0,1,0,0,0,0,0,0,0,0,0
306183,2016,21,Puebla,21158,Tenampulco,Otros delitos que atentan contra la libertad personal,Otros delitos que atentan contra la libertad personal,0,0,0,0,0,0,0,0,0,0,0,0
306281,2016,21,Puebla,21159,Teopantlán,Otros delitos que atentan contra la libertad personal,Otros delitos que atentan contra la libertad personal,0,0,0,1,0,0,0,0,0,0,0,0
